Sector,Project,Operation,Chinese Company,Year,US$ M
Serviços,Abertura de subsidiária da ZC Brasil,Rubber Brazil Importation and Exportation (ZC Brazil),ZC Rubber Group Co. Ltd.,2015,"2,80"
Tecnologia,Abertura de escritório da Cheetah Mobile,Cheetah Mobile Brasil Internet LTDA,Cheetah Mobile,2015,"2,30"
Produtos Químicos,Abertura de escritório da Fenchem do Brasil,Fenchem do Brasil,Fenchem Biotek,2015,"6,00"
Tecnologia,Instalação de fábrica da ZTT do Brasil em parceria com a Solverde Tecnologia,ZTT do Brasil,ZTT International Limited,2015,"9,30"
Maquinário Industrial,Instalação de fábrica da Zhengchang do Brasil,Zhengchang do Brasil,Jiangsu Zhengchang,2015,"19,59"
Tecnologia,Investimento da Qihoo 360 na PSafe,PSafe,Qihoo 360,2015,"25,00"
Automobilístico,Instalação de montadora da Shineray Brasil,Shineray Brasil,Chongqing Shineray Motorcycle,2015,"41,41"
Tecnologia,Construção de fábrica da BYD Brasil,BYD Brasil,BYD,2015,"49,00"
Eólica,Aquisição de ativos da EDP Renováveis Brasil pela CTG Brasil,CTG Brasil,China Three Gorges (CTG),2015,"79,00"
Automobilístico,Joint Venture entre Metro-Shacman e Shaanxi Automobile Group,Metro-Shacman,Shaanxi Automotive Group,2015,"100,00"
Automobilístico,Investimento da Chery para fabricação de SUV,CHERY BRASIL (atual CAOA CHERY),Chery Automobile,2015,"100,00"
Finanças,Compra de 80% do Banco BBM pelo Bank of Communications,Banco BBM,Bank of Communications (BoCom),2015,"157,60"
Hidrelétrica,UHE São Manoel,Empresa de Energia São Manoel,China Three Gorges (CTG),2014,"311,61"
Agricultura,Noble Agri (incorporada à COFCO Agri),COFCO Agri Ltda.,COFCO Corporation,2014,"2.000,00"
Agricultura,Nidera (incorporada à COFCO Agri),COFCO Agri Ltda.,COFCO Corporation,2014,"2.000,00"
Transmissão,LT Xingu - Estreito,"Belo Monte Transmissora de Energia SPE (BMTE) (51% da SGBH e 24,5% da Furnas e 24,5 % da Eletronorte)",State Grid,2014,"646,37"
Transmissão,Estação Conversora Estreito,"Belo Monte Transmissora de Energia SPE (BMTE) (51% da SGBH e 24,5% da Furnas e 24,5 % da Eletronorte)",State Grid,2014,"646,37"
Transmissão,Estação Conversora Xingu,"Belo Monte Transmissora de Energia SPE (BMTE) (51% da SGBH e 24,5% da Furnas e 24,5 % da Eletronorte)",State Grid,2014,"646,37"
Automobilístico,Instalação de fábrica de motocicletas,Brahmont,Zhejiang Q.J Motor Co.,2014,"116,00"
Automobilístico,Inauguração de fábrica da Chery,CHERY BRASIL (atual CAOA CHERY),Chery Automobile,2014,"400,00"
